iter	Passed	Remaining
0	0	80
1	1	74
2	2	70
3	2	68
4	3	69
5	4	68
6	5	68
7	5	68
8	6	66
9	7	66
10	8	66
11	8	65
12	9	64
13	10	63
14	11	63
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	17	56
23	17	56
24	18	56
25	19	55
26	20	54
27	21	54
28	21	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	46	27
63	47	26
64	48	26
65	49	25
66	49	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	59	14
80	59	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	65	8
88	66	8
89	66	7
90	67	6
91	68	5
92	69	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	74	0
